X; Y; Z; Time
0;2;4,95;0,02
0;2;4,95;0,04
0;2;4,95;0,37
-0,045;0;4,269;0,41
-0,045;0;4,269;0,43
-0,045;0;4,269;0,44
-0,045;0;4,269;0,44
-0,045;0;4,269;0,44
-0,045;0;4,269;0,45
-0,045;0;4,269;0,45
-0,045;0;4,269;0,45
-0,045;0;4,269;0,46
-0,045;0;4,269;0,46
-0,045;0;4,269;0,46
-0,045;0;4,269;0,47
-0,045;0;4,269;0,47
-0,045;0;4,269;0,47
-0,045;0;4,269;0,48
-0,045;0;4,269;0,48
-0,045;0;4,269;0,48
-0,045;0;4,269;0,49
-0,045;0;4,269;0,49
-0,045;0;4,269;0,49
-0,045;0;4,269;0,49
-0,045;0;4,269;0,5
-0,045;0;4,269;0,5
-0,045;0;4,269;0,5
-0,045;0;4,269;0,51
-0,045;0;4,269;0,51
-0,045;0;4,269;0,52
-0,045;0;4,269;0,52
-0,045;0;4,269;0,53
-0,045;0;4,269;0,53
-0,045;0;4,269;0,53
-0,045;0;4,269;0,53
-0,045;0;4,269;0,54
-0,045;0;4,269;0,54
-0,045;0;4,269;0,54
-0,045;0;4,269;0,55
-0,045;0;4,269;0,55
-0,045;0;4,269;0,55
-0,045;0;4,269;0,56
-0,045;0;4,269;0,56
-0,045;0;4,269;0,56
-0,045;0;4,269;0,57
-0,045;0;4,269;0,57
-0,045;0;4,269;0,57
-0,045;0;4,269;0,58
-0,045;0;4,269;0,58
-0,045;0;4,269;0,58
-0,045;0;4,269;0,59
-0,045;0;4,269;0,59
-0,045;0;4,269;0,59
-0,045;0;4,269;0,6
-0,051;0;4,212;0,6
-0,075;0;3,924;0,62
-0,075;0;3,924;0,63
-0,087;0;3,841;0,63
-0,087;0;3,841;0,63
-0,098;0;3,76;0,64
-0,098;0;3,76;0,64
-0,109;0;3,682;0,65
-0,109;0;3,682;0,65
-0,119;0;3,591;0,65
-0,119;0;3,591;0,66
-0,129;0;3,518;0,66
-0,129;0;3,518;0,66
-0,138;0;3,434;0,67
-0,138;0;3,434;0,67
-0,152;0;3,338;0,67
-0,161;0;3,184;0,68
-0,161;0;3,184;0,68
-0,175;0;3,028;0,69
-0,175;0;3,028;0,69
-0,175;0;3,028;0,69
-0,175;0;3,028;0,7
-0,175;0;3,028;0,7
-0,175;0;3,028;0,7
-0,175;0;3,028;0,71
-0,175;0;3,028;0,71
-0,175;0;3,028;0,71
-0,175;0;3,028;0,71
-0,175;0;3,028;0,72
-0,175;0;3,028;0,72
-0,175;0;3,028;0,73
-0,175;0;3,028;0,73
-0,175;0;3,028;0,73
-0,175;0;3,028;0,73
-0,175;0;3,028;0,74
-0,175;0;3,028;0,74
-0,175;0;3,028;0,74
-0,175;0;3,028;0,75
-0,175;0;3,028;0,75
-0,175;0;3,028;0,75
-0,175;0;3,028;0,76
-0,175;0;3,028;0,76
-0,175;0;3,028;0,76
-0,175;0;3,028;0,77
-0,175;0;3,028;0,77
-0,175;0;3,028;0,77
-0,175;0;3,028;0,78
-0,175;0;3,028;0,78
-0,175;0;3,028;0,78
-0,175;0;3,028;0,79
-0,175;0;3,028;0,79
-0,175;0;3,028;0,79
-0,175;0;3,028;0,8
-0,175;0;3,028;0,8
-0,175;0;3,028;0,8
-0,175;0;3,028;0,81
-0,175;0;3,028;0,81
-0,175;0;3,028;0,81
-0,175;0;3,028;0,82
-0,175;0;3,028;0,82
-0,175;0;3,028;0,82
-0,175;0;3,028;0,83
-0,175;0;3,028;0,83
-0,175;0;3,028;0,83
-0,175;0;3,028;0,84
-0,175;0;3,028;0,84
-0,175;0;3,028;0,84
-0,175;0;3,028;0,85
-0,175;0;3,028;0,85
-0,175;0;3,028;0,85
-0,175;0;3,028;0,86
-0,175;0;3,028;0,86
-0,175;0;3,028;0,86
-0,175;0;3,028;0,87
-0,175;0;3,028;0,87
-0,175;0;3,028;0,87
-0,175;0;3,028;0,88
-0,175;0;3,028;0,88
-0,175;0;3,028;0,88
-0,175;0;3,028;0,89
-0,175;0;3,028;0,89
-0,175;0;3,028;0,89
-0,175;0;3,028;0,9
-0,175;0;3,028;0,9
-0,175;0;3,028;0,9
-0,175;0;3,028;0,91
-0,175;0;3,028;0,91
-0,175;0;3,028;0,91
-0,175;0;3,028;0,92
-0,175;0;3,028;0,92
-0,175;0;3,028;0,93
-0,175;0;3,028;0,94
-0,175;0;3,028;0,94
-0,175;0;3,028;0,94
-0,175;0;3,028;0,95
-0,175;0;3,028;0,95
-0,175;0;3,028;0,95
-0,175;0;3,028;0,96
-0,175;0;3,028;0,96
-0,175;0;3,028;0,96
-0,175;0;3,028;0,97
-0,175;0;3,028;0,97
-0,175;0;3,028;0,97
-0,175;0;3,028;0,98
-0,175;0;3,028;0,98
-0,175;0;3,028;0,98
-0,175;0;3,028;0,99
-0,175;0;3,028;0,99
-0,175;0;3,028;0,99
-0,175;0;3,028;1
-0,175;0;3,028;1
-0,175;0;3,028;1
-0,175;0;3,028;1,01
-0,175;0;3,028;1,01
-0,175;0;3,028;1,01
-0,175;0;3,028;1,02
-0,175;0;3,028;1,02
-0,175;0;3,028;1,03
-0,175;0;3,028;1,03
-0,175;0;3,028;1,03
-0,175;0;3,028;1,03
-0,175;0;3,028;1,04
-0,175;0;3,028;1,04
-0,175;0;3,028;1,05
-0,175;0;3,028;1,05
-0,175;0;3,028;1,05
-0,175;0;3,028;1,06
