X;Y;Z;Time
0;2;4,95;0,02
0;2;4,95;0,04
-0,759;0;3,394;0,37
-2,329;0;1,372;0,42
-2,329;0;1,372;0,43
-2,329;0;1,372;0,43
-2,329;0;1,372;0,44
-2,329;0;1,372;0,44
-2,329;0;1,372;0,44
-2,329;0;1,372;0,45
-2,329;0;1,372;0,45
-2,329;0;1,372;0,45
-2,329;0;1,372;0,46
-2,329;0;1,372;0,46
-2,329;0;1,372;0,46
-2,329;0;1,372;0,47
-2,329;0;1,372;0,47
-2,329;0;1,372;0,47
-2,329;0;1,372;0,48
-2,329;0;1,372;0,48
-2,329;0;1,372;0,48
-2,329;0;1,372;0,49
-2,329;0;1,372;0,49
-2,329;0;1,372;0,49
-2,329;0;1,372;0,5
-2,329;0;1,372;0,5
-2,329;0;1,372;0,5
-2,329;0;1,372;0,51
-2,329;0;1,372;0,51
-2,329;0;1,372;0,52
-2,329;0;1,372;0,52
-2,329;0;1,372;0,52
-2,329;0;1,372;0,53
-2,329;0;1,372;0,53
-2,329;0;1,372;0,53
-2,329;0;1,372;0,54
-2,329;0;1,372;0,54
-2,329;0;1,372;0,54
-2,329;0;1,372;0,55
-2,329;0;1,372;0,55
-2,329;0;1,372;0,55
-2,329;0;1,372;0,56
-2,329;0;1,372;0,56
-2,329;0;1,372;0,56
-2,329;0;1,372;0,57
-2,329;0;1,372;0,57
-2,329;0;1,372;0,58
-2,329;0;1,372;0,58
-2,329;0;1,372;0,58
-2,377;0;1,328;0,59
-2,377;0;1,328;0,59
-2,448;0;1,258;0,59
-2,448;0;1,258;0,6
-2,721;0;0,937;0,61
-2,721;0;0,937;0,62
-2,817;0;0,813;0,62
-2,817;0;0,813;0,63
-2,898;0;0,68;0,63
-2,898;0;0,68;0,63
-2,96;0;0,549;0,64
-2,96;0;0,549;0,64
-3,03;0;0,399;0,64
-3,03;0;0,399;0,65
-3,079;0;0,275;0,65
-3,079;0;0,275;0,65
-3,111;0;0,158;0,66
-3,111;0;0,158;0,66
-3,139;0;0,055;0,67
-3,139;0;0,055;0,67
-3,151;0;-0,039;0,67
-3,151;0;-0,039;0,68
-3,149;0;-0,115;0,68
-3,149;0;-0,115;0,68
-3,147;0;-0,176;0,69
-3,147;0;-0,176;0,69
-3,132;0;-0,214;0,7
-3,132;0;-0,214;0,7
-3,118;0;-0,24;0,7
-3,118;0;-0,24;0,71
-3,117;0;-0,256;0,71
-3,117;0;-0,256;0,72
-3,104;0;-0,266;0,72
-3,116;0;-0,267;0,72
-3,116;0;-0,267;0,73
-3,128;0;-0,268;0,73
-3,128;0;-0,268;0,74
-3,128;0;-0,268;0,74
-3,128;0;-0,268;0,74
-3,128;0;-0,268;0,75
-3,128;0;-0,268;0,75
-3,128;0;-0,268;0,75
-3,128;0;-0,268;0,76
-3,128;0;-0,268;0,76
-3,128;0;-0,268;0,76
-3,128;0;-0,268;0,77
-3,128;0;-0,268;0,77
-3,128;0;-0,268;0,77
-3,128;0;-0,268;0,78
-3,128;0;-0,268;0,78
-3,128;0;-0,268;0,79
-3,128;0;-0,268;0,79
-3,128;0;-0,268;0,79
-3,128;0;-0,268;0,8
-3,128;0;-0,268;0,8
-3,128;0;-0,268;0,8
-3,128;0;-0,268;0,81
-3,128;0;-0,268;0,81
-3,128;0;-0,268;0,81
-3,128;0;-0,268;0,82
-3,128;0;-0,268;0,82
-3,128;0;-0,268;0,82
-3,128;0;-0,268;0,83
-3,128;0;-0,268;0,83
-3,128;0;-0,268;0,83
-3,128;0;-0,268;0,84
-3,128;0;-0,268;0,84
-3,128;0;-0,268;0,84
-3,128;0;-0,268;0,85
-3,128;0;-0,268;0,85
-3,128;0;-0,268;0,85
-3,128;0;-0,268;0,86
-3,128;0;-0,268;0,86
-3,128;0;-0,268;0,86
-3,128;0;-0,268;0,87
-3,128;0;-0,268;0,87
-3,128;0;-0,268;0,87
-3,128;0;-0,268;0,88
-3,128;0;-0,268;0,88
-3,128;0;-0,268;0,88
-3,128;0;-0,268;0,89
-3,128;0;-0,268;0,89
-3,128;0;-0,268;0,89
-3,128;0;-0,268;0,9
-3,128;0;-0,268;0,9
-3,128;0;-0,268;0,9
-3,128;0;-0,268;0,91
-3,128;0;-0,268;0,91
-3,128;0;-0,268;0,91
-3,128;0;-0,268;0,92
-3,128;0;-0,268;0,92
-3,128;0;-0,268;0,92
-3,128;0;-0,268;0,93
-3,128;0;-0,268;0,93
-3,264;0;-0,291;0,93
-3,264;0;-0,291;0,94
-3,461;0;-0,345;0,94
-3,461;0;-0,345;0,95
-3,738;0;-0,419;0,95
-3,738;0;-0,419;0,95
-4,104;0;-0,526;0,96
-4,104;0;-0,526;0,96
-4,506;0;-0,673;0,96
-4,95;0,001;-0,855;0,97
-4,95;0,001;-0,855;0,97
-4,95;0,136;-0,944;0,98
-4,95;0,136;-0,944;0,98
-4,95;0,269;-1,025;0,98
-4,95;0,269;-1,025;0,99
-4,95;0,363;-1,088;0,99
-4,95;0,363;-1,088;0,99
-4,95;0,457;-1,134;1
-4,95;0,457;-1,134;1
-4,95;0,522;-1,179;1,01
-4,95;0,522;-1,179;1,01
-4,95;0,577;-1,216;1,01
-4,95;0,577;-1,216;1,02
-4,95;0,623;-1,234;1,02
-4,95;0,623;-1,234;1,02
-4,95;0,66;-1,253;1,03
-4,95;0,66;-1,253;1,03
-4,95;0,679;-1,262;1,03
