X;Y;Z;Time
0;2;4,95;0,02
0;2;4,95;0,04
0;2;4,95;0,37
-0,564;0,674;4,95;0,44
-0,643;0,464;4,95;0,47
-0,643;0,464;4,95;0,47
-0,66;0,416;4,95;0,48
-0,66;0,416;4,95;0,48
-0,66;0,416;4,95;0,49
-0,66;0,416;4,95;0,5
-0,66;0,416;4,95;0,5
-0,66;0,416;4,95;0,51
-0,66;0,416;4,95;0,51
-0,66;0,416;4,95;0,51
-0,66;0,416;4,95;0,51
-0,66;0,416;4,95;0,52
-0,66;0,416;4,95;0,52
-0,66;0,416;4,95;0,52
-0,66;0,416;4,95;0,53
-0,66;0,416;4,95;0,53
-0,66;0,416;4,95;0,53
-0,66;0,416;4,95;0,54
-0,66;0,416;4,95;0,54
-0,66;0,416;4,95;0,56
-0,66;0,416;4,95;0,56
-0,66;0,416;4,95;0,57
-0,66;0,416;4,95;0,57
-0,66;0,416;4,95;0,58
-0,66;0,416;4,95;0,58
-0,66;0,416;4,95;0,58
-0,66;0,416;4,95;0,59
-0,66;0,416;4,95;0,59
-0,66;0,416;4,95;0,59
-0,66;0,416;4,95;0,6
-0,66;0,416;4,95;0,6
-0,66;0,416;4,95;0,6
-0,66;0,416;4,95;0,61
-0,66;0,416;4,95;0,62
-0,66;0,416;4,95;0,62
-0,66;0,416;4,95;0,63
-0,66;0,416;4,95;0,63
-0,66;0,416;4,95;0,64
-0,66;0,416;4,95;0,64
-0,66;0,416;4,95;0,64
-0,66;0,416;4,95;0,65
-0,66;0,416;4,95;0,65
-0,66;0,416;4,95;0,65
-0,66;0,416;4,95;0,66
-0,66;0,416;4,95;0,66
-0,66;0,416;4,95;0,66
-0,66;0,416;4,95;0,67
-0,66;0,416;4,95;0,67
-0,66;0,416;4,95;0,68
-0,66;0,416;4,95;0,68
-0,66;0,416;4,95;0,69
-0,66;0,416;4,95;0,69
-0,66;0,416;4,95;0,69
-0,66;0,416;4,95;0,69
-0,66;0,416;4,95;0,7
-0,66;0,416;4,95;0,7
-0,66;0,416;4,95;0,7
-0,66;0,416;4,95;0,71
-0,66;0,416;4,95;0,71
-0,66;0,416;4,95;0,71
-0,66;0,416;4,95;0,72
-0,66;0,416;4,95;0,72
-0,66;0,416;4,95;0,72
-0,66;0,416;4,95;0,73
-0,66;0,416;4,95;0,73
-0,66;0,416;4,95;0,73
-0,66;0,416;4,95;0,74
-0,66;0,416;4,95;0,74
-0,66;0,416;4,95;0,74
-0,66;0,416;4,95;0,75
-0,66;0,416;4,95;0,75
-0,66;0,416;4,95;0,75
-0,66;0,416;4,95;0,76
-0,66;0,416;4,95;0,76
-0,66;0,416;4,95;0,76
-0,66;0,416;4,95;0,77
-0,66;0,416;4,95;0,77
-0,66;0,416;4,95;0,77
-0,66;0,416;4,95;0,77
-0,66;0,416;4,95;0,78
-0,66;0,416;4,95;0,78
-0,66;0,416;4,95;0,78
-0,66;0,416;4,95;0,79
-0,66;0,416;4,95;0,79
-0,66;0,416;4,95;0,79
-0,66;0,416;4,95;0,8
-0,66;0,416;4,95;0,8
-0,66;0,416;4,95;0,8
-0,66;0,416;4,95;0,81
-0,66;0,416;4,95;0,81
-0,66;0,416;4,95;0,81
-0,66;0,416;4,95;0,82
-0,66;0,416;4,95;0,82
-0,66;0,416;4,95;0,82
-0,66;0,416;4,95;0,83
-0,66;0,416;4,95;0,83
-0,66;0,416;4,95;0,83
-0,66;0,416;4,95;0,84
-0,66;0,416;4,95;0,84
-0,66;0,416;4,95;0,84
-0,66;0,416;4,95;0,85
-0,66;0,416;4,95;0,85
-0,66;0,416;4,95;0,85
-0,66;0,416;4,95;0,85
-0,66;0,416;4,95;0,86
-0,66;0,416;4,95;0,86
-0,66;0,416;4,95;0,86
-0,66;0,416;4,95;0,87
-0,66;0,416;4,95;0,87
-0,66;0,416;4,95;0,87
-0,66;0,416;4,95;0,88
-0,66;0,416;4,95;0,88
-0,66;0,416;4,95;0,88
-0,66;0,416;4,95;0,89
-0,66;0,416;4,95;0,89
-0,66;0,416;4,95;0,89
-0,66;0,416;4,95;0,9
-0,66;0,416;4,95;0,9
-0,66;0,416;4,95;0,9
-0,66;0,416;4,95;0,91
-0,66;0,416;4,95;0,91
-0,66;0,416;4,95;0,91
-0,66;0,416;4,95;0,91
-0,66;0,416;4,95;0,92
-0,66;0,416;4,95;0,92
-0,66;0,416;4,95;0,92
-0,66;0,416;4,95;0,93
-0,66;0,416;4,95;0,93
-0,66;0,416;4,95;0,93
-0,66;0,416;4,95;0,94
-0,66;0,416;4,95;0,94
-0,66;0,416;4,95;0,94
-0,66;0,416;4,95;0,95
-0,66;0,416;4,95;0,95
-0,66;0,416;4,95;0,95
-0,66;0,416;4,95;0,96
-0,66;0,416;4,95;0,96
-0,66;0,416;4,95;0,96
-0,66;0,416;4,95;0,97
-0,66;0,416;4,95;0,97
-0,66;0,416;4,95;0,97
-0,66;0,416;4,95;0,98
-0,66;0,416;4,95;0,98
-0,66;0,416;4,95;0,98
-0,66;0,416;4,95;0,99
-0,66;0,416;4,95;0,99
-0,66;0,416;4,95;0,99
-0,66;0,416;4,95;1
-0,66;0,416;4,95;1
-0,66;0,416;4,95;1
-0,66;0,416;4,95;1,01
-0,66;0,416;4,95;1,01
-0,66;0,416;4,95;1,01
-0,66;0,416;4,95;1,02
-0,66;0,416;4,95;1,02
-0,66;0,416;4,95;1,02
